# output/currdump.csv run at 2018-01-30 00:00:00 EST on 22 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line_node101_node102,2.558001,-3.890277,-6.982717,-0.417659,6.288866,12.476788
line_node102_node103,2.558001,-3.890277,2.315012,0.136991,6.288866,12.476788
line_node201_node202,2.559811,-3.901793,-2.315012,-0.136991,10.437231,20.797194
line_node202_node203,2.559811,-3.901793,-2.315012,-0.136991,2.086228,4.183820
line_node301_node302,20.468154,-31.214120,0.000000,-0.000000,-0.000000,0.000000
line_node302_node303,10.233202,-15.610491,0.000000,0.000000,-0.000000,-0.000000
line_node101_load101,1.648988,-0.983722,0.000000,-0.000000,-0.000000,-0.000000
line_node102_load102,0.000000,-0.000000,-9.297729,-0.554650,-0.000000,-0.000000
line_node103_load103,-0.000000,0.000000,0.000000,-0.000000,8.375095,16.660608
line_node201_load201,0.000000,-0.000000,0.000000,0.000000,-0.557814,9.293330
line_node202_load202,0.000000,-0.000000,-0.000000,-0.000000,8.351003,16.613374
line_node203_load203,5.117812,-7.792070,0.000000,0.000000,-0.000000,-0.000000
line_node301_load301,10.238438,-15.589916,0.000000,-0.000000,-0.000000,0.000000
line_node302_load302,10.234952,-15.603629,0.000000,0.000000,-0.000000,-0.000000
line_node303_load303,10.233202,-15.610491,0.000000,-0.000000,0.000000,0.000000
tf_main,5.200959,-6.118812,-2.831826,-4.795171,-2.369133,10.913983
sw_101,4.206989,-4.873999,-6.982717,-0.417659,6.288866,12.476788
sw_201,2.559811,-3.901793,-2.315012,-0.136991,9.879417,30.090524
sw_301,30.706592,-46.804036,-0.000000,-0.000000,0.000000,-0.000000
sw_103,2.558001,-3.890277,2.315012,0.136991,-2.086228,-4.183820
sw_303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
xfrm_101A,1.648988,-0.983722,0.000000,0.000000,0.000000,0.000000
